tradeDate,nav,change,changePercent
2022-05-23,134.25,0.2,0.1492
2022-05-22,134.05,0.22,0.16439
2022-05-19,133.83,1.51,1.14117
2022-05-18,132.32,-1.3,-0.97291
2022-05-17,133.62,-0.3,-0.22401
2022-05-16,133.92,-0.24,-0.17889
2022-05-15,134.16,0.08,0.05967
2022-05-12,134.08,-0.14,-0.10431
2022-05-11,134.22,0.4,0.29891
2022-05-10,133.82,-0.2,-0.14923
2022-05-09,134.02,-0.02,-0.01492
2022-05-08,134.04,-0.72,-0.53428
2022-05-05,134.76,-0.84,-0.61947
2022-05-04,135.6,0.38,0.28102
2022-05-03,135.22,-0.13,-0.09605
2022-05-02,135.35,-1.11,-0.81343
2022-04-28,136.46,-0.41,-0.29955
2022-04-27,136.87,-0.47,-0.34222
2022-04-26,137.34,-0.24,-0.17444
2022-04-25,137.58,0.15,0.10915
2022-04-24,137.43,-0.34,-0.24679
2022-04-21,137.77,-0.51,-0.36882
2022-04-20,138.28,-0.01,-0.00723
2022-04-19,138.29,-0.25,-0.18045
2022-04-18,138.54,-0.8,-0.57414
2022-04-13,139.34,-0.01,-0.00718
2022-04-12,139.35,0.04,0.02871
2022-04-11,139.31,-0.32,-0.22918
2022-04-10,139.63,-0.85,-0.60507
2022-04-07,140.48,-0.49,-0.34759
2022-04-06,140.97,-0.04,-0.02837
2022-04-05,141.01,-0.85,-0.59918
2022-04-04,141.86,0.0,0.0
2022-04-03,141.86,0.38,0.26859
2022-03-31,141.48,-0.28,-0.19752
2022-03-30,141.76,0.36,0.2546
2022-03-29,141.4,0.48,0.34062
2022-03-28,140.92,0.58,0.41328
2022-03-27,140.34,-0.09,-0.06409
2022-03-24,140.43,0.04,0.02849
2022-03-23,140.39,-0.05,-0.0356
2022-03-22,140.44,0.01,0.00712
2022-03-21,140.43,-0.73,-0.51714
2022-03-20,141.16,0.02,0.01417
2022-03-17,141.14,0.49,0.34838
2022-03-16,140.65,0.69,0.493
2022-03-15,139.96,-0.05,-0.03571
2022-03-14,140.01,-0.59,-0.41963
2022-03-13,140.6,-0.77,-0.54467
2022-03-10,141.37,-0.17,-0.12011
2022-03-09,141.54,2.19,1.57158
2022-03-08,139.35,-2.74,-1.92836
2022-03-07,142.09,-1.12,-0.78207
2022-03-06,143.21,-0.6,-0.41722
2022-03-03,143.81,-0.16,-0.11113
2022-03-02,143.97,-0.5,-0.34609
2022-03-01,144.47,-0.52,-0.35865
2022-02-28,144.99,-0.5,-0.34367
2022-02-27,145.49,-1.61,-1.09449
2022-02-24,147.1,0.73,0.49874
2022-02-23,146.37,-2.38,-1.6
2022-02-22,148.75,-0.55,-0.36839
2022-02-21,149.3,-0.41,-0.27386
2022-02-20,149.71,-0.12,-0.08009
2022-02-17,149.83,-0.11,-0.07336
2022-02-16,149.94,-0.14,-0.09328
2022-02-15,150.08,0.08,0.05333
2022-02-14,150.0,-0.28,-0.18632
2022-02-13,150.28,-0.4,-0.26546
2022-02-10,150.68,-0.56,-0.37027
2022-02-09,151.24,-0.24,-0.15844
2022-02-08,151.48,0.15,0.09912
2022-02-07,151.33,-0.44,-0.28991
2022-02-06,151.77,-0.46,-0.30217
2022-02-03,152.23,-0.45,-0.29473
2022-02-02,152.68,-0.21,-0.13735
2022-02-01,152.89,0.23,0.15066
2022-01-31,152.66,0.01,0.00655
2022-01-30,152.65,-0.02,-0.0131
2022-01-27,152.67,-0.23,-0.15043
2022-01-26,152.9,-0.22,-0.14368
2022-01-25,153.12,0.05,0.03266
2022-01-24,153.07,-0.3,-0.19561
2022-01-23,153.37,-0.12,-0.07818
2022-01-20,153.49,0.34,0.222
2022-01-19,153.15,0.17,0.11113
2022-01-18,152.98,-0.07,-0.04574
2022-01-17,153.05,-0.49,-0.31914
2022-01-16,153.54,-0.4,-0.25984
2022-01-13,153.94,-0.37,-0.23978
2022-01-12,154.31,-0.29,-0.18758
2022-01-11,154.6,-0.03,-0.0194
2022-01-10,154.63,-0.04,-0.02586
2022-01-09,154.67,-0.42,-0.27081
2022-01-06,155.09,-0.2,-0.12879
2022-01-05,155.29,-0.94,-0.60168
2022-01-04,156.23,-0.22,-0.14062
2022-01-03,156.45,-0.41,-0.26138
2022-01-02,156.86,-0.08,-0.05097
2021-12-30,156.94,0.09,0.05738
2021-12-29,156.85,0.04,0.02551
2021-12-28,156.81,-0.13,-0.08283
2021-12-27,156.94,0.11,0.07014
2021-12-26,156.83,0.13,0.08296
2021-12-22,156.7,-0.07,-0.04465
2021-12-21,156.77,0.13,0.08299
2021-12-20,156.64,-0.19,-0.12115
2021-12-19,156.83,-0.16,-0.10192
2021-12-16,156.99,0.04,0.02549
2021-12-15,156.95,0.05,0.03187
2021-12-14,156.9,-0.06,-0.03823
2021-12-13,156.96,-0.05,-0.03185
2021-12-12,157.01,0.61,0.39003
2021-12-09,156.4,-0.35,-0.22329
2021-12-08,156.75,-0.02,-0.01276
2021-12-07,156.77,0.15,0.09577
2021-12-06,156.62,0.23,0.14707
2021-12-05,156.39,0.25,0.16011
2021-12-02,156.14,0.18,0.11541
2021-12-01,155.96,0.32,0.2056
2021-11-30,155.64,0.63,0.40643
2021-11-29,155.01,-0.2,-0.12886
2021-11-28,155.21,-0.26,-0.16723
2021-11-25,155.47,0.29,0.18688
2021-11-24,155.18,0.01,0.00644
2021-11-23,155.17,-0.81,-0.5193
2021-11-22,155.98,-0.59,-0.37683
2021-11-21,156.57,-0.12,-0.07658
2021-11-18,156.69,0.23,0.147
2021-11-17,156.46,0.11,0.07035
2021-11-16,156.35,-0.1,-0.06392
2021-11-15,156.45,-0.19,-0.1213
2021-11-14,156.64,-0.03,-0.01915
2021-11-11,156.67,-0.04,-0.02552
2021-11-10,156.71,-0.24,-0.15291
2021-11-09,156.95,-0.03,-0.01911
2021-11-08,156.98,0.15,0.09564
2021-11-07,156.83,0.12,0.07657
2021-11-04,156.71,0.26,0.16619
2021-11-03,156.45,0.14,0.08957
2021-11-02,156.31,0.09,0.05761
2021-11-01,156.22,-0.02,-0.0128
2021-10-31,156.24,-0.16,-0.1023
2021-10-28,156.4,-0.26,-0.16596
2021-10-27,156.66,0.22,0.14063
2021-10-26,156.44,0.32,0.20497
2021-10-25,156.12,0.07,0.04486
2021-10-24,156.05,0.07,0.04488
2021-10-21,155.98,-0.01,-0.00641
2021-10-20,155.99,-0.2,-0.12805
2021-10-19,156.19,-0.08,-0.05119
2021-10-18,156.27,0.0,0.0
2021-10-17,156.27,-0.04,-0.02559
2021-10-14,156.31,0.09,0.05761
2021-10-13,156.22,0.28,0.17956
2021-10-12,155.94,0.23,0.14771
2021-10-11,155.71,-0.08,-0.05135
2021-10-10,155.79,-0.29,-0.1858
2021-10-07,156.08,-0.22,-0.14075
2021-10-06,156.3,0.12,0.07683
2021-10-05,156.18,-0.37,-0.23635
2021-10-04,156.55,-0.25,-0.15944
2021-10-03,156.8,-0.09,-0.05737
2021-09-30,156.89,-0.04,-0.02549
2021-09-29,156.93,-0.2,-0.12728
2021-09-28,157.13,-0.02,-0.01273
2021-09-27,157.15,-0.68,-0.43084
